#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:table" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:table" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:table" name="distribution" x="@birthRate.t:table">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="ExponentialRelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <Exponential id="Exponential.c:table" name="distr">
#                    <parameter id="UCExpLambda.c:table" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                </Exponential>
#                <rateCategories dimension="136" id="expRateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucedMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	rateStat.mean	rateStat.variance	rateStat.coefficientOfVariation
0	-3965.1515108853923	-3952.445636374272	-12.705874511120513	-3952.445636374272	2.811426369276719	-12.705874511120513	1.0	0.7973388055861494	1.3036646521139832	0.9774484724588625
1000	-1983.081752503536	-1839.20112684399	-143.88062565954604	-1839.20112684399	26.732030651774078	-143.88062565954604	0.5486414750019293	0.6840005079719652	1.3955478742316392	0.9233590431077624
2000	-1750.7604510875926	-1618.721664832756	-132.03878625483668	-1618.721664832756	19.212965481879365	-132.03878625483668	0.4121806320836185	0.7929288290814799	1.2573987100145494	0.8548177519587777
3000	-1599.173298717995	-1475.8656431475688	-123.30765557042619	-1475.8656431475688	16.893549020591447	-123.30765557042619	0.49736399770827366	0.857548223759439	1.2294980964675366	0.8147770996214254
4000	-1501.0050043546064	-1381.2287730813557	-119.7762312732506	-1381.2287730813557	16.893549020591447	-119.7762312732506	0.4355865297421786	0.833235844583239	1.1717920614669846	0.8486977837253783
5000	-1470.5183876621622	-1340.0989138550358	-130.41947380712654	-1340.0989138550358	20.044288904151657	-130.41947380712654	0.37030820343192933	0.7281281347450803	1.261109211238716	0.8962895288058386
6000	-1387.8273084615769	-1266.1881189676212	-121.63918949395568	-1266.1881189676212	17.836807335388514	-121.63918949395568	0.4627995961416454	0.7492256740332077	1.2539264942421875	0.8939967053507724
7000	-1358.2709171594208	-1236.1927758254192	-122.07814133400166	-1236.1927758254192	17.44773276122196	-122.07814133400166	0.4537197333645371	0.712821516253834	1.2334267847933638	0.8933587719809502
8000	-1348.4328918446074	-1223.5239136148386	-124.90897822976882	-1223.5239136148386	16.77523834012251	-124.90897822976882	0.38542515073463834	0.7760191667935752	1.5278301969673387	0.9765801929708724
9000	-1311.9549866290524	-1198.828797984349	-113.12618864470346	-1198.828797984349	12.59397072603273	-113.12618864470346	0.5075567406014766	0.9046877762247488	1.300641674561462	0.9748910213844422
10000	-1278.1463597222485	-1169.6286719178372	-108.51768780441117	-1169.6286719178372	10.41562154278749	-108.51768780441117	0.5985330118510346	0.9313382732382554	0.9478074637008247	0.872017854408245
11000	-1201.5264739452275	-1108.4365112339742	-93.08996271125322	-1108.4365112339742	8.33249440808679	-93.08996271125322	0.5749274482868963	1.0025607960528005	0.9874118307188116	0.8359714174406656
12000	-1164.343821699982	-1074.8116185190845	-89.53220318089748	-1074.8116185190845	7.434697717965607	-89.53220318089748	0.6885373253199383	1.1181468845391493	1.1799880349114513	0.8773637164362915
13000	-1097.2477392337714	-1016.6610201008338	-80.58671913293759	-1016.6610201008338	5.758191059180762	-80.58671913293759	1.0400470409753166	1.2648257273520547	1.0380606495345617	0.8471787510596709
14000	-1078.2179075577003	-992.9259511369355	-85.29195642076469	-992.9259511369355	5.086744063675339	-85.29195642076469	0.6432108677703754	1.0020911161396258	1.064066423134488	0.9007600185387743
