#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:table" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:table" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:table" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:table" name="distribution" x="@BDBirthRate.t:table">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:table" name="distribution" x="@BDDeathRate.t:table">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:table" name="distribution">
#            <parameter id="ucldStdev.c:table" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <LogNormal S="@ucldStdev.c:table" id="LogNormalDistributionModel.c:table" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="136" id="rateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-3778.140608555159	-3801.3754235388424	23.23481498368341	-3801.3754235388424	1.5351992171919928	0.1	0.9828016908733463	0.012371597268102953	0.11091927294237443	29.323206117544746	1.0	0.5
1000	-1798.9614242736973	-1676.0144765589648	-122.94694771473242	-1676.0144765589648	9.421448614553425	0.18866015851312556	1.002734429676723	0.04383538998379313	0.2038443958484935	-116.33414977114023	0.29416958382368263	0.48610609372648955
2000	-1600.9617279546305	-1484.7036178709404	-116.25811008369004	-1484.7036178709404	7.080811427441668	0.04268327680756344	0.9945668165946409	0.002004206701281722	0.044604846498859194	-110.71176953548064	0.49562512251594704	0.43505860675704555
3000	-1484.1292255569604	-1368.1337596752473	-115.99546588171302	-1368.1337596752473	5.278396092781765	0.062797121922566	0.9945111847828714	0.004694979511991319	0.06865123407680541	-110.21869612048452	0.37883347973562337	0.36907056234359065
4000	-1358.3144258007064	-1253.100657357073	-105.21376844363333	-1253.100657357073	4.297013009692893	0.05396241754358154	0.994811858301984	0.0030291976684082606	0.05530741147529915	-99.52993873399329	0.4907155970860252	0.3581480589724574
5000	-1284.2255462804537	-1182.0883116201817	-102.13723466027216	-1182.0883116201817	4.530971490742182	0.01675668965799522	0.9993249927735426	2.8809896961472676E-4	0.016981659203201667	-97.08926096848394	0.6342944866933165	0.16817726025021462
6000	-1235.1239589566126	-1139.3920160074722	-95.73194294914029	-1139.3920160074722	4.523902108871746	0.003990027102793042	1.0003436644789516	1.6501021615393554E-5	0.004060741693837717	-91.37807237817859	0.5343024045697	0.17157236041740337
7000	-1174.1207067941812	-1077.0196345149475	-97.10107227923359	-1077.0196345149475	4.682469416706051	0.008294845105134256	1.0002882576222167	6.737246695980488E-5	0.008207540292113855	-92.39899220164439	0.48262369442452707	0.35188724471321214
8000	-1133.1477115541734	-1038.5856983121535	-94.56201324201987	-1038.5856983121535	4.636520045545248	0.007148881068968296	0.9998669727137178	5.1904609377107005E-5	0.007205795233237626	-89.9313853909716	0.416344844471326	0.6340169799739819
9000	-1097.2376630179488	-1013.3811905715377	-83.85647244641106	-1013.3811905715377	4.567637625502255	0.0031083428987359594	1.0000101695414556	1.0222711302568012E-5	0.0031960932927129508	-79.61987624086147	0.6193522658251763	0.35809376430458256
10000	-1063.843302001605	-974.5876618797774	-89.2556401218277	-974.5876618797774	4.205799109474927	0.0038643961122842257	1.0003522003944392	1.3120413937021019E-5	0.0036200359885879226	-84.9168279064685	0.6796930267172862	0.22842995575743902
11000	-1035.9533348820369	-951.9978303442542	-83.95550453778267	-951.9978303442542	4.123570661389097	0.023243883793018377	1.001182589132575	5.851042066359115E-4	0.024164056049715638	-78.73988085996253	0.9762293242194854	0.1864297958403871
12000	-1028.4397394479506	-944.5256584418245	-83.91408100612608	-944.5256584418245	4.174428246890669	0.1169880928097888	0.9933060136793556	0.016750359968859846	0.1288788253493638	-77.70896911206502	1.0178041163286866	0.08815607929144995
13000	-1020.6916412926416	-937.7142541073665	-82.97738718527509	-937.7142541073665	4.731254243233422	0.009617614594283296	1.0004494743800043	9.558923611881425E-5	0.009775160720416877	-78.20372173934577	0.8210100961188608	0.18718155181428964
14000	-979.4906402996145	-902.8178603959171	-76.67277990369737	-902.8178603959171	4.309968549612355	0.01294120587141599	0.9988694373811826	1.3892225183618622E-4	0.011794947954041034	-71.75375565717442	0.7476540551864296	0.5233418860780981
