#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:table" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:table" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:table" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:table" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:table" jeffreys="true" parameter="@bPopSizes.t:table" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ucldStdevPrior.c:table" name="distribution">
#            <parameter id="ucldStdev.c:table" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <LogNormal S="@ucldStdev.c:table" id="LogNormalDistributionModel.c:table" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="136" id="rateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5
0	-4274.714376200857	-3837.729070919844	-436.98530528101276	-3837.729070919844	3.91939280977031	0.1	0.9697651352506591	0.010168086871357512	0.10088765571791188	-404.1038131625314	380.0	380.0	380.0	380.0	380.0	14	14	13	13	14
1000	-2212.9190255576927	-1841.1794306550562	-371.73959490263655	-1841.1794306550562	8.656341581963458	0.04423414223118869	1.0014238018150463	0.0018228044072242237	0.042657957941744526	-344.436927511601	68.79569453147694	110.00090631982923	227.07398132307347	88.1858221221848	134.43902577789254	18	10	12	11	17
2000	-1913.2761004969043	-1552.347222329983	-360.9288781669212	-1552.347222329983	6.365272006509447	0.012693610207704592	0.9992565613431296	1.6878579641380883E-4	0.012988935112009733	-337.45166987478615	61.142756412088225	59.782582739443235	52.279695177922505	28.80711135900662	99.03434621564024	18	14	9	5	22
3000	-1734.8143076907884	-1409.7595036173375	-325.05480407345095	-1409.7595036173375	5.078079153510125	0.004308875930591327	0.9993329694899376	1.924985494028101E-5	0.004386252344340506	-298.9613216961393	74.74885490340884	21.654494035706517	39.437236634371544	9.239088688433535	80.05050718879986	20	13	13	10	12
4000	-1617.1066350899573	-1309.0300531576333	-308.07658193232396	-1309.0300531576333	4.557774869439343	0.017152732713836775	0.9986488894639715	2.727643782242574E-4	0.016533452720798567	-288.2490631462468	70.37308452502786	32.42447779637067	18.54819919657506	8.800223541923827	27.162570701855948	23	11	10	11	13
5000	-1552.2313986029694	-1262.143098184594	-290.08830041837547	-1262.143098184594	4.850435529405406	0.007593979661729552	0.9997562613372635	5.383958659073131E-5	0.00734472966776503	-273.35672199790474	87.26391546485637	19.060418742338527	15.003251363333154	6.05019119647535	7.121464525429985	22	17	6	10	13
6000	-1511.2095831673373	-1214.534934122577	-296.67464904476026	-1214.534934122577	4.410314587926812	0.038340297889130175	0.9955622011667338	0.0014848835358516213	0.03879215268961135	-278.0777246201802	74.70051395671372	43.908371481964686	30.37508424989457	7.3483541109299635	5.0001197208296695	24	15	7	6	16
7000	-1434.5707382796459	-1153.2804261771842	-281.2903121024616	-1153.2804261771842	4.213314740394235	0.058042145237561654	0.9935299007263774	0.0031203933284422135	0.05617029012998284	-262.01299203992437	58.37355677769255	18.025755114450426	25.389919881320814	27.454160446588915	2.3603281517253594	24	11	10	2	21
8000	-1386.7342255036697	-1097.6851261734312	-289.04909933023856	-1097.6851261734312	4.556179674854099	0.03811316915606812	0.992559880418484	0.0012029663135427354	0.03478804526370201	-268.5390924847573	46.090626387338496	17.949570886039325	24.235823132835954	57.25642590871703	2.819376034810357	23	8	10	6	21
9000	-1352.6021828412993	-1068.79941102163	-283.8027718196693	-1068.79941102163	3.995863641147949	0.04483717885774183	0.9910455589493332	0.0017560700994676136	0.042137969426765405	-262.48301410794613	57.075866886571895	17.356540431204934	12.12499117801347	51.25628389742146	2.461472329266021	23	11	11	3	20
10000	-1320.910503455604	-1041.3495407538749	-279.560962701729	-1041.3495407538749	4.621829525975791	0.027887589550446432	0.9972960022460543	8.737450336452657E-4	0.029564715002151847	-260.875148747443	55.31650206510653	15.923804165005723	15.132052605842878	30.2583319878667	3.7405392707815093	20	11	13	4	20
11000	-1264.32997927852	-988.1961088573537	-276.13387042116653	-988.1961088573537	3.6047902891225494	0.006441913417239146	0.9999191347156868	3.820322768673191E-5	0.006180042442592751	-257.65607523985784	50.57744143049669	72.24952197031337	21.492234140276697	17.542505717104355	3.562341864800018	17	8	18	7	18
