#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:table" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:table" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:table" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:table" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:table" name="distribution" x="@popSize.t:table">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:table" name="distribution">
#            <parameter id="ucldStdev.c:table" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <LogNormal S="@ucldStdev.c:table" id="LogNormalDistributionModel.c:table" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="136" id="rateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	popSize	CoalescentConstant
0	-4324.2458286643105	-4216.754457599658	-107.49137106465267	-4216.754457599658	0.9609206796712284	0.1	0.9703036398709202	0.010594252520283103	0.10480677282606732	0.3	-109.51470801409941
1000	-2120.3318054235447	-1774.653624670191	-345.6781807533535	-1774.653624670191	6.695331307226718	0.0996415007378825	0.9722598490963064	0.009679917286175017	0.09839241916419934	7.71007191363394	-344.45760960536927
2000	-1688.419728707819	-1384.3147609184741	-304.10496778934487	-1384.3147609184741	6.990998646239281	0.13685857048789699	0.9856126417923651	0.019071343336782304	0.13560329869673976	29.408319544051544	-301.30207731930597
3000	-1601.1332602527782	-1299.8619095976856	-301.27135065509265	-1299.8619095976856	5.870513287987687	0.18019568166576658	0.971881977247188	0.0319417244537948	0.17724093884619213	29.705723746142233	-298.21826652438403
4000	-1495.4231341647176	-1198.0014831200629	-297.4216510446547	-1198.0014831200629	5.665549973397714	0.17705686015366426	0.9855124031806406	0.02761803687150519	0.16657414927035372	26.419041944326857	-294.5021309445247
5000	-1409.2001246852199	-1127.3052380667405	-281.89488661847946	-1127.3052380667405	4.341668883484977	0.17443546534795973	0.9650945121855812	0.023515232478627468	0.1581516166152826	24.40971369366485	-279.06820184808663
6000	-1344.7844022778154	-1062.5619770459618	-282.22242523185366	-1062.5619770459618	4.838061374827561	0.1574594830460928	0.9758683878648761	0.02404877947784271	0.1577325180945967	20.373835970008113	-279.6680602942934
7000	-1320.364431028514	-1040.3262087746602	-280.0382222538537	-1040.3262087746602	5.319566201064549	0.209578617841516	0.9634876803335192	0.03544053860518608	0.19213931077486845	26.34788177929031	-276.95860518678995
8000	-1309.2173951396715	-1026.593168027754	-282.62422711191743	-1026.593168027754	4.8234866747414795	0.08525731484619714	0.9852781308148648	0.007569096696269707	0.08749786535067904	17.321991313786775	-280.7036499930344
9000	-1308.8266741375894	-1037.468497153104	-271.35817698448545	-1037.468497153104	4.88855146651577	0.06267263324819172	0.9950447898440682	0.003565083646471718	0.05955270263463993	17.682107015711566	-269.61784884927266
10000	-1275.323246679522	-998.6595097728974	-276.6637369066247	-998.6595097728974	4.3613677584293855	0.003946074951117153	1.000488389725377	1.665346481175559E-5	0.0040791350362244525	24.62573383762725	-276.0190443923748
11000	-1257.3259041707906	-980.3779332319544	-276.94797093883614	-980.3779332319544	4.432257243317079	0.004575716128728923	0.999530911090161	2.3034171575695512E-5	0.004801535746578045	18.838384981801813	-276.5013667101804
12000	-1208.0190309855984	-947.4984638050788	-260.52056718051966	-947.4984638050788	4.230665055914243	5.514075610567057E-4	0.999920818012933	3.6961142590346744E-7	6.079945534506895E-4	17.055826235408926	-261.1581320211551
13000	-1201.4807715562256	-926.7002961170523	-274.7804754391734	-926.7002961170523	5.0472188396391	0.004636302545849622	0.9993847835211799	2.8146118778165846E-5	0.005309765571137759	17.640482476528504	-274.3933566209639
14000	-1149.7476990709201	-891.6263136284975	-258.1213854424226	-891.6263136284975	4.238811314843425	0.0038994356031119897	0.999236115959718	1.990950342135126E-5	0.004464412926854637	15.790308460596933	-257.9266846373805
15000	-1126.5717129133864	-879.0362178019591	-247.5354951114273	-879.0362178019591	3.965429159472228	0.016488179421839468	0.9975470641793397	2.80965061946356E-4	0.016796616723874336	16.76373070369303	-246.58419934900053
16000	-1102.1568469541066	-849.4486165899903	-252.7082303641165	-849.4486165899903	4.263306419774793	0.007248198123454303	0.999237616985294	4.872777193041872E-5	0.006984458776283776	13.461487048457894	-252.3789127714351
17000	-1086.5797408428473	-845.0140270255561	-241.56571381729114	-845.0140270255561	4.143059291182519	0.011217627048568398	0.9976131048717254	1.1387859560214268E-4	0.010689997727127965	12.699000244734744	-241.08323976135742
18000	-1074.9999262209813	-827.6979998712605	-247.30192634972062	-827.6979998712605	4.381358601972893	0.03355500920874814	0.9931093600249191	0.0010705465050156397	0.03283377160951039	11.716653346365138	-246.3370140609477
19000	-1075.8978846125478	-827.8697127446623	-248.0281718678855	-827.8697127446623	4.627278407894343	0.03160276564823634	1.0033416445813694	9.157950626001399E-4	0.030216644692958414	14.249242112135752	-246.9002760512452
20000	-1033.9845680181786	-791.3971519483132	-242.58741606986538	-791.3971519483132	4.102907620824822	0.07036327991122075	0.9991606978462342	0.004869039215333487	0.06953139485424788	10.44031370745449	-241.30053891522456
21000	-1034.00040716692	-791.6852650546949	-242.3151421122251	-791.6852650546949	4.350569591465105	0.18097814685452476	0.979265336837631	0.03824229633360353	0.19484439517807675	13.060771380693462	-240.07974079580364
22000	-1029.2491552603165	-792.470809969905	-236.77834529041147	-792.470809969905	4.196079585054307	0.13839954505750562	1.0006643021063957	0.019307013764460295	0.13751176250735409	10.800919956535044	-234.9679111409185
23000	-1048.8078360663085	-814.1441987432892	-234.66363732301943	-814.1441987432892	4.688184068881255	0.0912092005077414	1.0099807127490716	0.007503795060606676	0.08625359834607829	10.801674644362638	-233.16868231122507
24000	-1024.134455121497	-795.3066770738506	-228.82777804764655	-795.3066770738506	4.11932168991503	0.07926660202397601	0.9971508761150188	0.005493055067165335	0.07426336959152201	9.059856142886844	-227.60455453615367
25000	-1037.909901375211	-794.5151084592429	-243.39479291596788	-794.5151084592429	5.140334055597338	0.0372490914044577	1.0036367967405073	0.0014568903392740355	0.0382557622918371	10.240135396979339	-242.50681925551717
26000	-1039.618339736016	-797.4777024885225	-242.14063724749343	-797.4777024885225	5.165153840677736	0.1420162322423881	1.0007278395091013	0.016675514537361286	0.13207836611962231	12.805776227083005	-240.13859106848136
27000	-1025.7787011557073	-787.1112108843644	-238.66749027134296	-787.1112108843644	4.535206592151829	0.3569806533367425	0.8692708152839753	0.10460959275434388	0.3374478152357642	10.39979489307016	-235.88630370753
28000	-1022.3037552032616	-780.3196486558702	-241.98410654739143	-780.3196486558702	4.35826729372191	0.19307602428865933	0.9803738625592389	0.0365855707483802	0.1921009910903856	11.132471022714373	-239.8469826938131
29000	-1024.268509798851	-785.8470384415147	-238.42147135733637	-785.8470384415147	4.295605827573285	0.10240055127685574	0.9843317730075478	0.010906735235965588	0.10504685445497934	11.400261422010248	-236.7899918369775
30000	-1027.2524979502489	-783.1530224144282	-244.09947553582077	-783.1530224144282	4.546815256503502	0.011556054363505782	1.0004463563170147	1.292369739932278E-4	0.011364609005593112	11.504025832165588	-243.70125701927446
31000	-1025.123829726983	-784.1008980545361	-241.022931672447	-784.1008980545361	4.360264167291022	0.013802631701115732	1.001435166646053	1.8471625985894954E-4	0.0135915113097604	12.022887969318989	-240.4929254426664
32000	-1032.052989841313	-791.7138867347802	-240.3391031065328	-791.7138867347802	3.9064018992499925	0.015183475246626625	0.9987295977855003	1.838748176306129E-4	0.013556058870633863	16.44645692819865	-239.44828484524345
33000	-1040.329130139403	-800.3955717966735	-239.93355834272955	-800.3955717966735	4.067694785353284	0.03658326170939417	0.999904639953321	0.001341593537544704	0.03660278462603274	11.93335702936744	-238.902609518236
34000	-1034.355629843289	-805.8152688506191	-228.54036099267	-805.8152688506191	4.786512507247402	0.11460895225717307	0.981456010633034	0.012187248224845387	0.11160832497377293	10.666669127674156	-226.89156976913833
35000	-1036.463025370632	-799.5006458584074	-236.96237951222463	-799.5006458584074	3.7751868887591042	0.00826882190984622	1.000234284999496	7.366770701134633E-5	0.008584068280028868	11.52133783613118	-236.72536874594311
36000	-1027.6066451330141	-791.7849749070336	-235.82167022598045	-791.7849749070336	4.116966340667624	0.014590614767744911	1.0003497357426934	1.7713587251261202E-4	0.013317796812357665	11.362124295898496	-235.32056639408097
