#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentExponential.t:table" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ExponentialGrowth.t:table" spec="beast.evolution.tree.coalescent.ExponentialGrowth">
#                <parameter id="ePopSize.t:table" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#                <parameter id="growthRate.t:table" name="growthRate" spec="beast.core.parameter.RealParameter">3.0E-4</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:table" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="ePopSizePrior.t:table" name="distribution" x="@ePopSize.t:table">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <prior id="GrowthRatePrior.t:table" name="distribution" x="@growthRate.t:table">
#            <LaplaceDistribution id="LaplaceDistribution.0" name="distr">
#                <parameter estimate="false" id="RealParameter.5" name="mu" spec="beast.core.parameter.RealParameter">0.001</parameter>
#                <parameter estimate="false" id="RealParameter.6" name="scale" spec="beast.core.parameter.RealParameter">30.701135</parameter>
#            </LaplaceDistribution>
#        </prior>
#        <prior id="ucldStdevPrior.c:table" name="distribution">
#            <parameter id="ucldStdev.c:table" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <LogNormal S="@ucldStdev.c:table" id="LogNormalDistributionModel.c:table" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="136" id="rateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	CoalescentExponential	ePopSize	growthRate
0	-3783.0954810532144	-3685.693809226302	-97.40167182691206	-3685.693809226302	1.6207578460998655	0.1	1.0274268200151313	0.009918447084090743	0.09990662107406699	-95.30753917074509	0.3	3.0E-4
1000	-2061.6129822833504	-1726.567732335385	-335.0452499479655	-1726.567732335385	5.090442803248263	0.07384315679015493	1.020666332446167	0.0061703333407337685	0.07871858337793392	-329.88878782428196	7.743950461824221	-0.5996520885783863
2000	-1664.8033232251014	-1376.135654621392	-288.66766860370933	-1376.135654621392	5.361835773043443	0.050628589269737775	1.0026555302632112	0.0025835241972737054	0.0510097156771231	-281.74268003117095	57.481476022629266	0.5565228801733315
3000	-1568.381198476484	-1281.9348157768225	-286.44638269966157	-1281.9348157768225	5.285438935266895	0.0014150575091802316	1.0002762639370704	2.007299254886228E-6	0.0014166786684196345	-280.87288292384653	87.36845355840398	0.7319752994223798
4000	-1508.310834910681	-1221.8486075430328	-286.46222736764815	-1221.8486075430328	5.088070174750665	0.0052292364178942695	0.9997535881801106	2.5118674921089383E-5	0.005013542478309859	-280.36173802617714	80.35123987875284	0.6995045338497428
5000	-1481.6532448717435	-1197.465656917316	-284.1875879544275	-1197.465656917316	5.092178016919385	0.1208060012535063	1.0013085413372398	0.015530566061639686	0.12535453390306026	-276.04707847233226	106.83161099105048	0.9118983338361957
6000	-1415.392395864288	-1136.9647475934257	-278.42764827086216	-1136.9647475934257	5.172547989935959	0.009956468444856445	0.9990960836024226	1.0455236954765315E-4	0.010236289156336719	-271.5757112315398	123.5341737080668	1.0826952087387256
7000	-1319.4329353216808	-1043.9104338289799	-275.52250149270094	-1043.9104338289799	4.451351810185881	0.29746187975803673	0.9839600588405826	0.08354925737373976	0.2929378772676204	-266.52740051105263	103.51247666924505	1.1794796767897897
8000	-1299.1024830604565	-1026.154183258042	-272.94829980241445	-1026.154183258042	4.134617513527127	0.21929201730377731	1.01511660292821	0.05537526925092566	0.22895601455547993	-264.3431178520002	99.05937033513322	1.1520965699670482
9000	-1265.1266374418744	-998.2925901205167	-266.8340473213577	-998.2925901205167	4.0512295700572425	0.2551299780302171	0.962755082297864	0.06080715772738864	0.24790846206331393	-258.2748239525493	80.23605264327598	1.190669237987048
10000	-1237.6776138124528	-965.4546623219102	-272.22295149054275	-965.4546623219102	4.405202706500097	0.44480593954633646	0.9588343422981067	0.23608879684494236	0.48420035507608344	-262.7442436709187	94.70797676968232	1.223672768769356
11000	-1209.284784617155	-952.5511925902329	-256.73359202692217	-952.5511925902329	3.9846962437542435	0.2529295495542461	0.9891521180661744	0.06927269100761776	0.25868741797599454	-248.45331537747117	61.342106344582334	1.1694724028903785
12000	-1194.0849082728698	-941.138697772369	-252.94621050050085	-941.138697772369	4.003514076132678	0.11142199792642961	1.0119714631013204	0.011059648039732597	0.10440094405140729	-245.50194653443904	55.92594978751347	1.3042660916178515
13000	-1159.2119978296594	-908.4207612135458	-250.79123661611365	-908.4207612135458	4.072680651930215	0.024347052859650754	1.0047862579485476	5.367397162588418E-4	0.023078203919467938	-244.48019000402905	46.04687994853025	0.9783578585929724
14000	-1128.934181995382	-882.2219736202466	-246.71220837513545	-882.2219736202466	4.141559700006679	0.005504534432758536	0.9994629306596832	2.898841614033584E-5	0.005382205178650492	-241.73982097754694	25.244254157849987	0.8641987370902273
15000	-1132.1791129085946	-879.5713464383058	-252.60776647028874	-879.5713464383058	4.2210449898460585	0.012877315402052223	1.002758002195433	1.56539793971727E-4	0.012500658847863541	-247.04735336465643	30.323255092521084	0.6834349942259752
16000	-1096.042596814026	-849.5568145149135	-246.48578229911234	-849.5568145149135	4.38140853970271	0.008433482854590349	0.9988040422989894	6.666165276138008E-5	0.008169578940692744	-241.09774435748062	31.22044097955753	0.8360363906035959
