#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:table" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:table" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:table" name="distribution" x="@birthRate.t:table">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:table" name="distribution">
#            <parameter id="ucldStdev.c:table" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:table" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:table">
#                <LogNormal S="@ucldStdev.c:table" id="LogNormalDistributionModel.c:table" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="136" id="rateCategories.c:table" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
0	-4014.077309998857	-4005.795679904039	-8.281630094817933	-4005.795679904039	1.4476071195005984	-9.100994239938736	1.0	0.1	0.9734047337362302	0.009051739954920257	0.09554221016450196
1000	-1965.445672894463	-1830.1830110371004	-135.2626618573627	-1830.1830110371004	14.317418876262131	-134.10774469490252	0.36712623091198116	0.5532134084748175	0.8195095941456813	0.3149357974188686	0.5586810724423009
2000	-1709.8740344329804	-1582.1915064889765	-127.68252794400377	-1582.1915064889765	12.166607355489331	-126.18154836133937	0.5122076774880632	0.6555353657290054	0.9041469892451582	0.5551574305490877	0.6706552185393903
3000	-1522.4774782303568	-1412.0083557171386	-110.46912251321834	-1412.0083557171386	6.81325610717862	-109.88783909412794	0.5958377580361652	0.3938735012965397	1.0155425658355086	0.15561898065035745	0.3691424812474699
4000	-1385.467264117771	-1280.1368240516954	-105.33044006607571	-1280.1368240516954	6.029208278449353	-104.49482132443158	0.5916532260155571	0.4626908836396799	0.9852704215584609	0.19675005083544914	0.41642943606413546
5000	-1312.733979663189	-1215.0995892123344	-97.63439045085462	-1215.0995892123344	5.470380175995712	-96.87273707464648	0.6328330329418194	0.4423487760041565	0.9789254596306446	0.1579892962833083	0.3993518452056895
6000	-1266.3082260435508	-1179.490487627186	-86.81773841636485	-1179.490487627186	4.191416817817714	-86.74865185025214	0.858925173085749	0.26677312055055274	1.023732679267824	0.0691826727713919	0.25878129802902977
7000	-1246.3042571833391	-1153.9829275640366	-92.32132961930263	-1153.9829275640366	4.455088125904957	-92.28756983967847	0.6949894979603293	0.2586910007906343	1.0360766196138202	0.061383189202390574	0.2463303751912297
8000	-1209.9436430744365	-1120.0894029532328	-89.85424012120374	-1120.0894029532328	4.746140377820854	-90.75321855171738	0.7506432976546623	0.08936515335436354	0.996704420008004	0.006686039374858432	0.08226957928379236
9000	-1171.5173132916239	-1083.1619143320793	-88.3553989595446	-1083.1619143320793	4.747049124186861	-90.10296560702703	0.7011477758297401	0.020885383101032596	0.9989898294165072	3.3000459259807045E-4	0.01816331993621049
10000	-1168.839053113845	-1079.60869433725	-89.23035877659514	-1079.60869433725	4.376531166204551	-91.80890178517733	0.6437490074676449	0.0037863333095739457	1.0004350317181163	1.4813840806625164E-5	0.003847742562101641
11000	-1122.7212542328698	-1037.2244740213005	-85.49678021156933	-1037.2244740213005	4.36900032661172	-88.69327808724856	0.8312921448934055	0.0010050161300184963	1.000014192715528	9.91264204633827E-7	9.955246702027568E-4
12000	-1049.0755783887657	-969.79005818408	-79.28552020468587	-969.79005818408	4.706564423100402	-82.80712210831396	0.7695626742718514	4.974582858479476E-4	0.9999949625595821	2.406913190050483E-7	4.906169446475169E-4
13000	-973.6395674866366	-912.0359775851429	-61.60358990149375	-912.0359775851429	3.845381960748585	-64.60095408580321	1.104629475872982	0.0015441300046642231	1.0001668009847682	2.198829382995475E-6	0.001482811846284339
14000	-946.36632716842	-878.9871149137288	-67.37921225469125	-878.9871149137288	4.598800778536665	-69.16876282454639	0.8449634121922982	0.01924391926981576	1.00225927673474	3.7394109724372065E-4	0.019309734378362302
