#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:table" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:table" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:table" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.table" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:table" name="distribution" x="@birthRate.t:table">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@table" id="treeLikelihood.table" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:table">
#            <siteModel id="SiteModel.s:table" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:table" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:table" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:table" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:table" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:table" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:table" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:table" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:table" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-3791.528302857007	-3781.864997781814	-9.663305075192973	-3781.864997781814	1.9273662443357797	-9.663305075192973	1.0
1000	-1704.6977439206328	-1588.839569374934	-115.85817454569874	-1588.839569374934	6.114422830247388	-115.85817454569874	0.4776909160800287
2000	-1457.7670619136666	-1354.4189792529603	-103.34808266070624	-1354.4189792529603	4.626658178349543	-103.34808266070624	0.673470929081172
3000	-1343.6222590775492	-1240.360363516162	-103.26189556138722	-1240.360363516162	5.128490121162635	-103.26189556138722	0.6632295279931913
4000	-1229.2647479527623	-1133.3881266620651	-95.87662129069722	-1133.3881266620651	5.050385948803844	-95.87662129069722	0.7427288307304263
5000	-1182.188022901518	-1090.7213343919193	-91.46668850959864	-1090.7213343919193	5.474948822437034	-91.46668850959864	0.8957895098756731
6000	-1123.1646524663984	-1037.6631191835588	-85.50153328283957	-1037.6631191835588	4.1547695144659835	-85.50153328283957	0.9222093954402194
7000	-1081.5602789197578	-997.8753087715342	-83.68497014822356	-997.8753087715342	4.802398218321325	-83.68497014822356	0.8385405910492219
8000	-1019.8724612873731	-937.4531643668244	-82.4192969205487	-937.4531643668244	4.6547037464584795	-82.4192969205487	0.9740947407437329
9000	-982.6000238624778	-908.7602818046091	-73.83974205786869	-908.7602818046091	4.053321424731666	-73.83974205786869	0.87861094798196
10000	-979.8481351082942	-902.3551407951414	-77.49299431315279	-902.3551407951414	4.351550574028447	-77.49299431315279	0.8440570471772141
11000	-968.5854059356972	-897.3679458676136	-71.21746006808364	-897.3679458676136	3.8833844467277157	-71.21746006808364	1.0027847932335598
12000	-952.7270297733503	-877.8352320658437	-74.89179770750656	-877.8352320658437	4.312354435452172	-74.89179770750656	0.8676060338317596
13000	-916.643179418597	-849.4983910858653	-67.1447883327318	-849.4983910858653	3.626440531925112	-67.1447883327318	0.9863260671411619
14000	-904.5635356239544	-837.5305681265113	-67.03296749744307	-837.5305681265113	3.7096525896559482	-67.03296749744307	1.1171692299043394
15000	-874.8709032792929	-820.1605353411055	-54.71036793818739	-820.1605353411055	3.602223938112867	-54.71036793818739	1.1256320786581369
16000	-880.0992823639829	-820.2701463998701	-59.82913596411272	-820.2701463998701	4.131323831161499	-59.82913596411272	1.1251872442051507
17000	-883.9702268016816	-818.9211453273217	-65.04908147435988	-818.9211453273217	3.84992160835712	-65.04908147435988	1.0940442428453716
18000	-879.2645473515418	-815.0041479776353	-64.26039937390645	-815.0041479776353	4.294514821602494	-64.26039937390645	1.1150454545441464
19000	-869.8061123303308	-810.3537373804472	-59.452374949883605	-810.3537373804472	3.6386967413966698	-59.452374949883605	1.1126437118868373
20000	-879.3249941505444	-807.7599207861797	-71.5650733643647	-807.7599207861797	4.499843665300126	-71.5650733643647	0.7817570230884604
21000	-880.4729280016917	-810.7749581386026	-69.697969863089	-810.7749581386026	4.323104542031732	-69.697969863089	0.7175208161998993
22000	-863.9348979336723	-801.7975992647371	-62.13729866893522	-801.7975992647371	3.800291026389328	-62.13729866893522	1.272718267692188
23000	-892.0797902450888	-820.1460539370457	-71.93373630804307	-820.1460539370457	4.275220550390853	-71.93373630804307	0.9073351803389957
24000	-874.1581320622115	-799.1004986068593	-75.05763345535215	-799.1004986068593	4.306604192378556	-75.05763345535215	0.8456688427874397
25000	-871.5881640059065	-804.1361563419339	-67.45200766397262	-804.1361563419339	3.7828340482205016	-67.45200766397262	0.9364196441374759
26000	-877.7770833164298	-808.2861955663398	-69.49088775009002	-808.2861955663398	3.6739363414758324	-69.49088775009002	1.2259562493053084
27000	-866.0337078957543	-800.0565418740086	-65.97716602174569	-800.0565418740086	4.360508725787408	-65.97716602174569	1.0757517358853148
28000	-876.9699558707719	-820.9698955451804	-56.00006032559142	-820.9698955451804	3.781840372753838	-56.00006032559142	1.140698010524776
