	Label	Parameter	Implication(s)	Label	RGS	MsS	SCa	Sal	NCa	BA	Cam	Ter	CR	RE	PR	It	Sp	Fr	Ptg	Rm	SaG	CG1	CG2	Grk	CyG	E	Du	Afk	D	Da	Ice	FO	Nor	Blg	SC	Slo	Po	Rus	Ir	Wel	Ma	Hi	Pas	Ta	Te	Man	Can	Jap	Kor	Hu	Kh1	Kh2	Est	Fin	mM1	mM2	Ud1	Ud2	Yu	Ev1	Ev2	Ek	Ya	Uz	Kaz	Kyr	Tur	Bur	cB	wB	Mal	Arc	Lak																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
1	FGM	± grammaticalized morphology		FGM	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
2	FAG	± agreement	+FGM	FAG	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
3	FGK	± grammaticalized Case	+FGM	FGK	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
4	SPK	± spatial Cases	+FGK	SPK	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	-	-	+	-	-	+	+	+	+	+	+	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
5	FGP	± grammaticalized person                         	+FGM	FGP	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
6	FSP	± semantic person                         	¬+FGP	FSP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
7	FGN	± grammaticalized number	+FGP	FGN	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	0	0	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
8	GCO	± grammaticalized collective number	"+FGM, ¬+FGN"	GCO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
9	PLS	± plurality spreading	"+FGM, ¬+FGN"	PLS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
10	FSN	± number spread to N	+FGN	FSN	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	0	0	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
11	FNN	± number on N	+FSN	FNN	+	+	+	+	+	-	-	-	-	-	-	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	0	0	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	0	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
12	FGT	± grammaticalized temporality		FGT	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
13	FGG	± grammaticalized gender	+FGN	FGG	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
14	FSG	± semantic gender 	+FGN 	FSG	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
15	CGB	± unbounded sg N		CGB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	+	+	+	+	-	-	+	+	+	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
16	FPC	± grammaticalized perception		FPC	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
17	DGR	± grammaticalized Specified Quantity	" -FPC, +FGN"	DGR	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	-	+	+	-	-	-	-	-	0	0	0	0	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
18	DGP	± grammaticalized text anaphora   	¬+DGR   	DGP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	-	0	0	-	-	-	-	-	-	-	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
19	CGR	± weak Specified Quantity	"-CGB, +DGR"	CGR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	+	0	0	0	0	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
20	NWD	± weak person 	"+FGP, -FSN or +DGR"	NWD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	+	+	+	+	+	+	-	0	0	0	0	+	+	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
21	DGD	± grammaticalized distality	-FSN or +DGR	DGD	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	+	-	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
22	DPQ	± free null partitive Q	"+FNN, -CGB"	DPQ	-	-	-	-	-	0	0	0	0	0	0	-	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	-	0	0	0	0	0	0	0	0	0	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
23	DCN	± article-checking N	-FSN or +DGR	DCN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-	+	+	+	+	+	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-	-	-	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
24	DNN	± null-N-licensing art 	-DCN 	DNN	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	0	-	-	-	-	-	-	+	+	+	0	0	0	0	0	0	0	0	0	-	-	0	0	0	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	-	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
25	DIN	± D-controlled inflection on N	+FSN	DIN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
26	FGC	± grammaticalized classifier	¬+FGN	FGC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	+	+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
27	FGE	± general classifier	"-FGM, +FGC"	FGE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
28	FCN	± conjugated nouns	+FGP	FCN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
29	HMP	± NP-heading modifier		HMP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
30	ARR	± free reduced relatives		ARR	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	+	-	-	+	+	+	+	-	-	-	-	-	-	-	-	-	+	+	+	+	+	+	+	+	+	+	-	-	-	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
31	GFP	± features on GenS°              	+FGP	GFP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	+	+	+	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	+	-	-																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
32	GFN	± Gen-feature spread to Poss°              	+GFP	GFN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	+	+	+	0	-	+	+	+	+	+	+	+	+	+	+	+	+	+	-	0	0	+	0	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
33	CSE	± full c-selection	 	CSE	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	-	-	-	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
34	CAL	± clausal alignment                    	"+CSE, ¬+GFN"	CAL	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	+	-	-	-	-	0	0	0	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	+	-	-	0	+	+																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																		
