#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:ruhlen" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:ruhlen" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:ruhlen" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:ruhlen" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.ruhlen" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:ruhlen" name="distribution" x="@BDBirthRate.t:ruhlen">
#            <Uniform id="Uniform.4" name="distr" upper="1000.0"/>
#        </prior>
#        <prior id="DeathRatePrior.t:ruhlen" name="distribution" x="@BDDeathRate.t:ruhlen">
#            <Uniform id="Uniform.5" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:ruhlen" name="distribution">
#            <parameter id="ucldStdev.c:ruhlen" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ruhlen" id="treeLikelihood.ruhlen" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ruhlen">
#            <siteModel id="SiteModel.s:ruhlen" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ruhlen" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ruhlen" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ruhlen" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:ruhlen" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:ruhlen" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:ruhlen" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ruhlen" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ruhlen">
#                <LogNormal S="@ucldStdev.c:ruhlen" id="LogNormalDistributionModel.c:ruhlen" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="100" id="rateCategories.c:ruhlen" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ruhlen" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-6118.5293094020035	-6129.744798705903	11.215489303899867	-6129.744798705903	1.519827456593648	0.1	0.9778624643394588	0.010101421679962468	0.10274766312902235	17.3038804377612	1.0	0.5
1000	-4275.683650845192	-4282.227442116985	6.543791271793821	-4282.227442116985	1.0555251558296814	0.37958506107751244	0.8893986986476784	0.11759793929791454	0.35786516139343716	13.978403603007944	0.5549873541706608	0.8972830520213361
2000	-4025.8985909588737	-4029.5618981649936	3.66330720611979	-4029.5618981649936	1.0343636309290154	0.5210917251761444	0.8700655076969793	0.25455940799115273	0.5080032665912957	11.614329358488874	1.2229503412175056	0.7508219187470649
3000	-3865.1413588497835	-3876.3681055967895	11.226746747005985	-3876.3681055967895	0.9017801909621624	0.5518632171471199	0.8922166659469307	0.3044275833076272	0.535167482699723	19.28475868940984	2.3441665372992047	0.5473038492329597
4000	-3751.979419097064	-3765.2424114893615	13.262992392297852	-3765.2424114893615	0.8825549764626966	0.5518632171471199	0.8366005022369475	0.2968530402535656	0.515592520261587	21.32100433470171	3.40630729424542	0.32372235920997794
5000	-3667.282806289975	-3683.868488060492	16.58568177051727	-3683.868488060492	0.8129702354937388	0.5705943204738951	0.8163338129213152	0.3801123760082717	0.5965598251372269	24.708108207401658	4.596111119234942	0.21706882198240204
6000	-3652.7023491782866	-3670.3435069328407	17.641157754554097	-3670.3435069328407	0.8051767494014427	0.617041365482141	0.8703720081346654	0.40015421879714286	0.5958677767868112	25.921234942024544	4.710727670559462	0.044655781196168476
7000	-3626.1973080831067	-3640.390588179848	14.193280096741141	-3640.390588179848	0.8556066651775676	0.6487119054901048	0.8347821873674102	0.4443012189130294	0.6526853204558749	22.57933040542338	3.835298047480321	0.12264479913891631
8000	-3612.0286465815075	-3627.68404787177	15.65540129026259	-3627.68404787177	0.8113985436265438	0.6212374342303949	0.8571517716983825	0.4780834034711497	0.6617265617055709	23.94958608965667	4.667106120282105	0.18169349745348162
9000	-3549.9985480387695	-3566.785406254659	16.78685821588961	-3566.785406254659	0.7535284279374583	0.5963822593877897	0.8760108727596604	0.37463196146447003	0.5788704729893368	24.99716124593738	3.580206321527636	0.36585410109454813
10000	-3531.024054218951	-3547.1879168432097	16.16386262425905	-3547.1879168432097	0.7439784663008238	0.601634890359245	0.8665760244922537	0.411020000003386	0.6210450759064385	24.39195681332684	3.7501751619256227	0.32487815240055706
11000	-3524.2235496535936	-3543.936415160856	19.71286550726245	-3543.936415160856	0.7160313723068015	0.5281324815610707	0.8824831295437096	0.2808391178331298	0.5299809982756633	27.68850285144279	3.057499492861995	0.45117970870116025
12000	-3396.737300044324	-3413.70413180497	16.966831760646123	-3413.70413180497	0.7664412146756887	0.5217303952541384	0.8521236730403536	0.29889372714692963	0.5490868175823775	24.920090200443326	5.088698677205453	0.1580480590576936
13000	-3350.8514919970457	-3368.7802479549073	17.92875595786168	-3368.7802479549073	0.538940305978507	0.4767503826329552	0.8593873685199972	0.22973887256270037	0.4947663280172386	25.722726133331495	3.7731072528118372	0.18175047342491346
14000	-3345.8210952645813	-3365.9600119814418	20.13891671686062	-3365.9600119814418	0.6009354814146681	0.5153821803728311	0.8597245222132783	0.20782703493088453	0.47081589099467874	28.069916111072565	3.079019669063422	0.43194098530707614
15000	-3332.2626755998267	-3355.489926962364	23.227251362537075	-3355.489926962364	0.5081555079057091	0.4297529827162171	0.9167758941989701	0.1474796685101093	0.39991083424376256	30.850378034477863	3.465796352568123	0.2778092567542649
16000	-3346.9069257159244	-3367.9084447701844	21.001519054259962	-3367.9084447701844	0.5264486666771383	0.2945560209137551	0.9603394368811241	0.07986477786539033	0.29474477769370283	28.09672217536655	3.442502617272753	0.325936606787325
