#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:ruhlen" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:ruhlen" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:ruhlen" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:ruhlen" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ruhlen" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.ruhlen" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:ruhlen" name="distribution" x="@popSize.t:ruhlen">
#            <OneOnX id="OneOnX.1" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:ruhlen" name="distribution">
#            <parameter id="ucldStdev.c:ruhlen" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ruhlen" id="treeLikelihood.ruhlen" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ruhlen">
#            <siteModel id="SiteModel.s:ruhlen" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ruhlen" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:ruhlen" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ruhlen" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="MutationDeathModel.s:ruhlen" spec="beast.evolution.substitutionmodel.MutationDeathModel">
#                    <parameter estimate="false" id="deathprob.s:ruhlen" name="deathprob" spec="beast.core.parameter.RealParameter">0.1</parameter>
#                    <frequencies id="freqs.s:ruhlen" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="2" id="RealParameter.1" name="frequencies" spec="beast.core.parameter.RealParameter">1.0 0.0</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:ruhlen" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:ruhlen">
#                <LogNormal S="@ucldStdev.c:ruhlen" id="LogNormalDistributionModel.c:ruhlen" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.2" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="100" id="rateCategories.c:ruhlen" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:ruhlen" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	popSize	CoalescentConstant
0	-6742.834305273801	-6627.021147800749	-115.81315747305271	-6627.021147800749	3.330862931320392	0.1	0.9912686436734953	0.00964048812292597	0.09708489478148158	0.3	-117.83649442249946
1000	-4553.38079780156	-4437.525499523513	-115.8552982780475	-4437.525499523513	1.0757339822868075	0.4641342013290707	0.9660944051258988	0.3120620857744848	0.5012463580544759	1.2091797483951827	-114.82452405649138
2000	-4103.883034754153	-3991.6092826402846	-112.27375211386857	-3991.6092826402846	0.5955474112468606	0.3905008810748579	1.0453310529333648	0.19876439518010647	0.40670677425039625	3.5644338560647224	-110.43425386204198
3000	-3886.848270978931	-3779.2568545843374	-107.59141639459362	-3779.2568545843374	0.5491962386350928	0.4118648829931921	0.9945856480995111	0.20280263728612097	0.4232322441716566	3.1565274078659926	-105.79298626570666
4000	-3824.064607726509	-3715.7258481158437	-108.33875961066528	-3715.7258481158437	0.519515766332058	0.36854353749230245	1.0043196050633472	0.16756501358320708	0.38790943290235297	3.229974316101067	-106.68193139662156
5000	-3730.0279609443846	-3620.0149909188854	-110.0129700254991	-3620.0149909188854	0.5031272979255405	0.4529471457156747	0.9554093086809422	0.247761002173057	0.48260922307602994	2.739203321650173	-108.20499704940673
6000	-3670.300227867003	-3558.714861001743	-111.58536686525979	-3558.714861001743	0.5124191122459802	0.30597856667866824	0.9383297414813971	0.08788833791647818	0.3016443729576321	4.079082896791037	-109.94462075010729
7000	-3635.5558154803216	-3523.2602097082067	-112.29560577211501	-3523.2602097082067	0.5586853679428571	0.3218077740182886	0.953146203058322	0.08940811595051307	0.3033977191458563	2.914812196014141	-110.92625561258546
8000	-3587.2904556407507	-3478.6475137032035	-108.64294193754718	-3478.6475137032035	0.4401653840145017	0.4122796091932362	0.9549190839204909	0.15968724690007105	0.39968192391285623	3.10969891837526	-106.85790907953734
9000	-3576.875524456381	-3469.1295883627495	-107.74593609363117	-3469.1295883627495	0.4426150305128187	0.3367693222558501	0.966919712104775	0.1173395945045524	0.3447481653761258	3.032956436758991	-106.27675452169389
10000	-3552.993662003989	-3446.453755872968	-106.539906131021	-3446.453755872968	0.5863370208313108	0.38780510006239827	0.9326835376974028	0.14588639800961706	0.407100191470807	3.3605747225647558	-104.76954931624407
11000	-3541.7298618256764	-3436.8078058975243	-104.92205592815229	-3436.8078058975243	0.6020809954757772	0.4154314260855211	0.8919801697582286	0.15340434483063906	0.4194272109739499	3.402426291408342	-103.03530089395217
12000	-3533.2293962772915	-3425.155288374629	-108.07410790266248	-3425.155288374629	0.5785239588493425	0.3880697207756859	0.9353275066801852	0.1303788870079141	0.37180798911033675	3.2888102737909333	-106.32433026031251
13000	-3542.433551536562	-3435.6691279375273	-106.7644235990347	-3435.6691279375273	0.5184812219481214	0.4960439411307856	0.8891221742174765	0.2321140709819984	0.501805789100346	2.771942375677397	-104.78987574340186
14000	-3556.0284026326453	-3445.9899197796462	-110.03848285299892	-3445.9899197796462	0.616976796046383	0.4871889385006196	0.876750774062854	0.185541543673409	0.4669727685702213	2.367622525071033	-108.25307665365051
15000	-3550.259151689841	-3442.16321999988	-108.09593168996116	-3442.16321999988	0.6614434385455517	0.36437409698679907	0.9300419482229665	0.12008533694199941	0.35612757071460754	3.0883527628628062	-106.50009574987136
16000	-3520.1659313604773	-3408.4878487248166	-111.67808263566072	-3408.4878487248166	0.5381119472393449	0.37770517225135686	0.9066959789476328	0.13469514582915845	0.3802388585709249	2.4440005118151693	-110.26479758458488
