	Siciliano_Ragusa	Siciliano_Mussomeli	Calabrese_Southern	Salentino	Calabrese_Northern	Barese	Campano	Teramano	Casalasco	Reggio_Emilia	Parma	Italian	Spanish	French	Portuguese	Romanian
Siciliano_Ragusa	0.0	0.0	0.04	0.087	0.115	0.12	0.12	0.16	0.231	0.2	0.2	0.08	0.148	0.231	0.115	0.214
Siciliano_Mussomeli	0.0	0.0	0.04	0.087	0.115	0.12	0.12	0.16	0.231	0.2	0.2	0.08	0.148	0.231	0.115	0.214
Calabrese_Southern	0.04	0.04	0.0	0.125	0.148	0.154	0.154	0.192	0.231	0.2	0.2	0.08	0.148	0.231	0.115	0.214
Salentino	0.087	0.087	0.125	0.0	0.125	0.13	0.13	0.174	0.28	0.208	0.208	0.125	0.192	0.28	0.16	0.259
Calabrese_Northern	0.115	0.115	0.148	0.125	0.0	0.08	0.08	0.12	0.259	0.192	0.192	0.077	0.207	0.286	0.179	0.207
Barese	0.12	0.12	0.154	0.13	0.08	0.0	0.0	0.043	0.2	0.125	0.125	0.08	0.214	0.231	0.185	0.214
Campano	0.12	0.12	0.154	0.13	0.08	0.0	0.0	0.043	0.2	0.125	0.125	0.08	0.214	0.231	0.185	0.214
Teramano	0.16	0.16	0.192	0.174	0.12	0.043	0.043	0.0	0.192	0.083	0.083	0.12	0.25	0.192	0.222	0.25
Casalasco	0.231	0.231	0.231	0.28	0.259	0.2	0.2	0.192	0.0	0.083	0.083	0.16	0.286	0.192	0.259	0.222
Reggio_Emilia	0.2	0.2	0.2	0.208	0.192	0.125	0.125	0.083	0.083	0.0	0.0	0.12	0.25	0.192	0.222	0.25
Parma	0.2	0.2	0.2	0.208	0.192	0.125	0.125	0.083	0.083	0.0	0.0	0.12	0.25	0.192	0.222	0.25
Italian	0.08	0.08	0.08	0.125	0.077	0.08	0.08	0.12	0.16	0.12	0.12	0.0	0.143	0.222	0.111	0.143
Spanish	0.148	0.148	0.148	0.192	0.207	0.214	0.214	0.25	0.286	0.25	0.25	0.143	0.0	0.148	0.037	0.172
French	0.231	0.231	0.231	0.28	0.286	0.231	0.231	0.192	0.192	0.192	0.192	0.222	0.148	0.0	0.185	0.214
Portuguese	0.115	0.115	0.115	0.16	0.179	0.185	0.185	0.222	0.259	0.222	0.222	0.111	0.037	0.185	0.0	0.207
Romanian	0.214	0.214	0.214	0.259	0.207	0.214	0.214	0.25	0.222	0.25	0.25	0.143	0.172	0.214	0.207	0.0
