Executing: analysis distances once DeltaScore SelectedTaxa=0 ;
WARNING: Some quartets were close to 'star-like' so set to zero for delta score calculation

Delta scores for individual taxa
Id	Taxon	Delta Score 	Q-residual
1	Siciliano_Ragusa	0.26592	0.03609
2	Siciliano_Mussomeli	0.26592	0.03609
3	Calabrese_Southern	0.26995	0.035311
4	Salentino	0.2867	0.036969
5	Calabrese_Northern	0.28493	0.033367
6	Barese	0.26393	0.039905
7	Campano	0.26393	0.039905
8	Teramano	0.27032	0.044539
9	Casalasco	0.30134	0.045319
10	Reggio_Emilia	0.26803	0.042778
11	Parma	0.26803	0.042778
12	Italian	0.2696	0.035073
13	Spanish	0.31633	0.042414
14	French	0.33224	0.05105
15	Portuguese	0.28555	0.035588
16	Romanian	0.31875	0.04454
17	Salento_Greek	0.31396	0.046494
18	Greek_Calabria_1	0.31579	0.047742
19	Greek_Calabria_2	0.31396	0.046494
20	Greek	0.31835	0.054301
21	Greek_Cypriot	0.31835	0.054301
22	English	0.32844	0.04083
23	Dutch	0.31144	0.042403
24	Afrikaans	0.33324	0.042327
25	German	0.32861	0.048864
26	Danish	0.30374	0.041417
27	Icelandic	0.32924	0.047623
28	Faroese	0.30211	0.041031
29	Norwegian	0.30219	0.038578
30	Bulgarian	0.31691	0.034222
31	Serbo_Croatian	0.29674	0.041886
32	Slovenian	0.29674	0.041886
33	Polish	0.31269	0.042913
34	Russian	0.29602	0.041547
35	Irish	0.33611	0.056721
36	Welsh	0.33611	0.056721
37	Marathi	0.32239	0.057452
38	Hindi	0.3301	0.056922
39	Pashto	0.36715	0.053112
40	Tamil	0.35026	0.081108
41	Telugu	0.32094	0.067943
42	Mandarin	0.38682	0.12535
43	Cantonese	0.38682	0.12535
44	Japanese	0.36929	0.10704
45	Korean	0.37082	0.098495
46	Hungarian	0.33649	0.097465
47	Khanty_1	0.2675	0.067224
48	Khanty_2	0.2683	0.06582
49	Estonian	0.3317	0.074352
50	Finnish	0.29928	0.069207
51	Mari_1	0.26134	0.065446
52	Mari_2	0.25408	0.060981
53	Udmurt_1	0.25713	0.067865
54	Udmurt_2	0.24802	0.061445
55	Yukaghir	0.27441	0.058643
56	Even_1	0.2602	0.05702
57	Even_2	0.2602	0.05702
58	Evenki	0.2602	0.05702
59	Yakut	0.25877	0.063429
60	Uzbek	0.26025	0.054709
61	Kazakh	0.24636	0.053511
62	Kirghiz	0.24636	0.053511
63	Turkish	0.24636	0.053511
64	Buryat	0.29575	0.067003
65	Basque_Central	0.36507	0.089047
66	Basque_Western	0.34917	0.085027
67	Malagasy	0.33641	0.08052
68	Archi	0.31826	0.092198
69	Lak	0.31826	0.092198
===========================

Delta score = 0.3024
Q-residual score = 0.05749
