	Siciliano_Ragusa	Siciliano_Mussomeli	Calabrese_Southern	Salentino	Calabrese_Northern	Barese	Campano	Teramano	Casalasco	Reggio_Emilia	Parma	Italian	Spanish	French	Portuguese	Romanian	Greek_Salento	Greek_Calabria_1	Greek_Calabria_2	Greek	Greek_Cypriot	English	Dutch	Afrikaans	German	Danish	Icelandic	Faroese	Norwegian	Bulgarian	Serbo-Croatian	Slovenian	Polish	Russian	Irish	Welsh	Marathi	Hindi	Pashto	Tamil	Telugu	Hungarian	Khanty_1	Khanty_2	Estonian	Finnish	Mari_1	Mari_2	Udmurt_1	Udmurt_2	Yukaghir	Even_1	Even_2	Evenki	Yakut	Uzbek	Kazakh	Kirghiz	Turkish	Buryat	Archi	Lak	Basque_Central	Basque_Western	Malagasy	Mandarin	Cantonese	Japanese	Korean
Siciliano_Ragusa	0.0	0.0	0.04	0.087	0.115	0.12	0.12	0.16	0.231	0.2	0.2	0.08	0.148	0.231	0.115	0.214	0.25	0.32	0.25	0.346	0.346	0.227	0.217	0.261	0.25	0.25	0.333	0.25	0.25	0.208	0.273	0.273	0.238	0.273	0.333	0.333	0.318	0.286	0.286	0.35	0.368	0.524	0.579	0.55	0.5	0.524	0.526	0.5	0.55	0.524	0.5	0.476	0.476	0.476	0.5	0.474	0.474	0.474	0.474	0.45	0.389	0.389	0.478	0.5	0.6	0.625	0.625	0.615	0.583
Siciliano_Mussomeli	0.0	0.0	0.04	0.087	0.115	0.12	0.12	0.16	0.231	0.2	0.2	0.08	0.148	0.231	0.115	0.214	0.25	0.32	0.25	0.346	0.346	0.227	0.217	0.261	0.25	0.25	0.333	0.25	0.25	0.208	0.273	0.273	0.238	0.273	0.333	0.333	0.318	0.286	0.286	0.35	0.368	0.524	0.579	0.55	0.5	0.524	0.526	0.5	0.55	0.524	0.5	0.476	0.476	0.476	0.5	0.474	0.474	0.474	0.474	0.45	0.389	0.389	0.478	0.5	0.6	0.625	0.625	0.615	0.583
Calabrese_Southern	0.04	0.04	0.0	0.125	0.148	0.154	0.154	0.192	0.231	0.2	0.2	0.08	0.148	0.231	0.115	0.214	0.28	0.346	0.28	0.346	0.346	0.227	0.217	0.261	0.25	0.25	0.333	0.25	0.25	0.208	0.273	0.273	0.238	0.273	0.36	0.36	0.318	0.286	0.286	0.35	0.368	0.524	0.579	0.55	0.5	0.524	0.526	0.5	0.55	0.524	0.5	0.476	0.476	0.476	0.5	0.474	0.474	0.474	0.474	0.45	0.389	0.389	0.478	0.5	0.6	0.625	0.625	0.615	0.583
Salentino	0.087	0.087	0.125	0.0	0.125	0.13	0.13	0.174	0.28	0.208	0.208	0.125	0.192	0.28	0.16	0.259	0.217	0.292	0.217	0.32	0.32	0.227	0.217	0.261	0.25	0.25	0.333	0.25	0.25	0.208	0.273	0.273	0.238	0.273	0.333	0.333	0.318	0.286	0.286	0.35	0.368	0.524	0.579	0.55	0.5	0.524	0.526	0.5	0.55	0.524	0.5	0.476	0.476	0.476	0.5	0.474	0.474	0.474	0.474	0.45	0.389	0.389	0.545	0.565	0.6	0.625	0.625	0.615	0.583
Calabrese_Northern	0.115	0.115	0.148	0.125	0.0	0.08	0.08	0.12	0.259	0.192	0.192	0.077	0.207	0.286	0.179	0.207	0.25	0.32	0.25	0.346	0.346	0.292	0.28	0.32	0.28	0.24	0.296	0.24	0.24	0.269	0.273	0.273	0.238	0.273	0.36	0.36	0.348	0.318	0.318	0.381	0.368	0.545	0.579	0.55	0.5	0.524	0.526	0.5	0.55	0.524	0.5	0.476	0.476	0.476	0.5	0.474	0.474	0.474	0.474	0.476	0.389	0.389	0.5	0.52	0.6	0.667	0.667	0.615	0.583
Barese	0.12	0.12	0.154	0.13	0.08	0.0	0.0	0.043	0.2	0.125	0.125	0.08	0.214	0.231	0.185	0.214	0.292	0.36	0.292	0.385	0.385	0.304	0.292	0.333	0.32	0.25	0.333	0.25	0.25	0.28	0.318	0.318	0.286	0.318	0.4	0.4	0.364	0.333	0.333	0.4	0.421	0.591	0.632	0.6	0.526	0.55	0.579	0.55	0.6	0.571	0.55	0.524	0.524	0.524	0.55	0.526	0.526	0.526	0.526	0.5	0.444	0.444	0.478	0.5	0.6	0.625	0.625	0.615	0.583
Campano	0.12	0.12	0.154	0.13	0.08	0.0	0.0	0.043	0.2	0.125	0.125	0.08	0.214	0.231	0.185	0.214	0.292	0.36	0.292	0.385	0.385	0.304	0.292	0.333	0.32	0.25	0.333	0.25	0.25	0.28	0.318	0.318	0.286	0.318	0.4	0.4	0.364	0.333	0.333	0.4	0.421	0.591	0.632	0.6	0.526	0.55	0.579	0.55	0.6	0.571	0.55	0.524	0.524	0.524	0.55	0.526	0.526	0.526	0.526	0.5	0.444	0.444	0.478	0.5	0.6	0.625	0.625	0.615	0.583
Teramano	0.16	0.16	0.192	0.174	0.12	0.043	0.043	0.0	0.192	0.083	0.083	0.12	0.25	0.192	0.222	0.25	0.333	0.385	0.333	0.385	0.385	0.348	0.333	0.375	0.36	0.292	0.37	0.292	0.292	0.32	0.318	0.318	0.286	0.318	0.4	0.4	0.364	0.333	0.333	0.429	0.45	0.609	0.65	0.619	0.55	0.571	0.6	0.571	0.619	0.591	0.571	0.524	0.524	0.524	0.55	0.526	0.526	0.526	0.526	0.524	0.474	0.474	0.522	0.5	0.55	0.625	0.625	0.615	0.583
Casalasco	0.231	0.231	0.231	0.28	0.259	0.2	0.2	0.192	0.0	0.083	0.083	0.16	0.286	0.192	0.259	0.222	0.36	0.407	0.36	0.37	0.37	0.304	0.292	0.333	0.32	0.25	0.333	0.25	0.25	0.32	0.318	0.318	0.318	0.318	0.4	0.4	0.333	0.3	0.3	0.429	0.45	0.609	0.65	0.619	0.526	0.571	0.6	0.571	0.619	0.591	0.571	0.524	0.524	0.524	0.55	0.526	0.526	0.526	0.526	0.524	0.474	0.474	0.545	0.48	0.571	0.625	0.625	0.615	0.583
Reggio_Emilia	0.2	0.2	0.2	0.208	0.192	0.125	0.125	0.083	0.083	0.0	0.0	0.12	0.25	0.192	0.222	0.25	0.36	0.407	0.36	0.37	0.37	0.333	0.32	0.36	0.346	0.28	0.357	0.28	0.28	0.308	0.304	0.304	0.273	0.304	0.423	0.423	0.364	0.333	0.333	0.429	0.45	0.609	0.65	0.619	0.55	0.571	0.6	0.571	0.619	0.591	0.571	0.524	0.524	0.524	0.55	0.526	0.526	0.526	0.526	0.524	0.474	0.474	0.565	0.538	0.55	0.625	0.625	0.615	0.583
